runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
13.8179s : 	996779	3795	8585	2.26219	268430070	3.19823e-05
14.2608s : 	996710	4274	6243	1.46069	268430602	2.32574e-05
14.7273s : 	996430	3510	10354	2.94986	268419374	3.8574e-05
15.0295s : 	996287	3585	7913	2.20725	268431336	2.94787e-05
15.4623s : 	996144	3105	7675	2.47182	268416196	2.85937e-05
15.7528s : 	996125	4596	7178	1.56179	268412449	2.67424e-05
16.0443s : 	995975	3489	7715	2.21124	268429362	2.87413e-05
16.5218s : 	995958	4294	6334	1.47508	268427881	2.35967e-05
16.9116s : 	995897	5269	7215	1.36933	268431776	2.68783e-05
17.2278s : 	995819	4408	11059	2.50885	268430731	4.11987e-05
17.5486s : 	995745	3389	6884	2.03128	268432843	2.56451e-05
18.0632s : 	995679	4777	14646	3.06594	268409919	5.45658e-05
18.5542s : 	995367	3592	11220	3.12361	268431848	4.17983e-05
18.8824s : 	995367	3886	4758	1.2244	268433964	1.7725e-05
19.1986s : 	995281	3954	7968	2.01517	268429979	2.96837e-05
19.6547s : 	995040	3807	10345	2.71736	268432175	3.85386e-05
20.0793s : 	994969	3876	8402	2.1677	268424380	3.13012e-05
20.5205s : 	994747	3783	10706	2.83003	268431333	3.98836e-05
21.0573s : 	994731	4113	4639	1.12789	268432139	1.72818e-05
21.5856s : 	994492	3866	10016	2.59079	268430002	3.73133e-05
21.891s : 	994424	3739	7196	1.92458	268429301	2.68078e-05
22.1959s : 	994341	3712	9477	2.55307	268427096	3.53057e-05
22.4889s : 	994338	4081	7456	1.827	268430905	2.77762e-05
22.9601s : 	994335	2786	5125	1.83955	268432095	1.90924e-05
23.3008s : 	994317	4149	7587	1.82863	268431346	2.82642e-05
23.6208s : 	993945	3075	10298	3.34894	268428242	3.83641e-05
24.0713s : 	993764	2686	8128	3.02606	268426260	3.02802e-05
24.5993s : 	993244	3111	13510	4.34266	268427438	5.03302e-05
25.1127s : 	992925	4009	11321	2.8239	268431374	4.21747e-05
25.6411s : 	992909	4204	6007	1.42888	268428839	2.23784e-05
26.083s : 	992863	4738	6151	1.29823	268431706	2.29146e-05
26.3707s : 	992862	354	502	1.41808	268422540	1.87019e-06
26.8746s : 	992809	5766	7300	1.26604	268431217	2.7195e-05
27.3935s : 	992476	3704	14739	3.97921	268431261	5.49079e-05
27.8609s : 	992369	4503	12666	2.81279	268431012	4.71853e-05
28.3348s : 	992195	4463	10569	2.36814	268433056	3.93729e-05
28.8348s : 	992152	5652	7039	1.2454	268422104	2.62236e-05
29.1476s : 	991881	3977	10770	2.70807	268428556	4.01224e-05
29.4772s : 	991397	3924	14285	3.64042	268430507	5.32168e-05
29.9741s : 	991164	3951	11211	2.83751	268429753	4.17651e-05
30.4701s : 	990404	4198	21363	5.08885	268427421	7.95858e-05
30.9193s : 	989931	3502	13027	3.71987	268430254	4.85303e-05
31.4233s : 	989699	3902	9339	2.39339	268409676	3.47938e-05
31.8301s : 	989630	7490	9189	1.22684	268431355	3.42322e-05
32.3946s : 	989566	5471	12441	2.27399	268428306	4.63476e-05
32.9045s : 	989254	4019	10466	2.60413	268430202	3.89897e-05
33.1953s : 	989234	1320	2557	1.93712	268425642	9.52592e-06
33.5767s : 	989127	2335	3610	1.54604	268431388	1.34485e-05
34.0994s : 	989101	4990	5752	1.15271	268432911	2.14281e-05
34.5265s : 	989057	4352	5845	1.34306	268426576	2.1775e-05
35.023s : 	989010	5432	9362	1.72349	268430268	3.48768e-05
35.5352s : 	988969	4567	5685	1.2448	268391368	2.11818e-05
36.0282s : 	988931	4378	5984	1.36683	268419730	2.22934e-05
36.5525s : 	988903	4466	7344	1.64442	268430660	2.7359e-05
36.8772s : 	988703	3643	9532	2.61652	268429440	3.55103e-05
37.3425s : 	988662	4211	7173	1.7034	268428711	2.67222e-05
37.8743s : 	988566	4393	9097	2.07079	268431241	3.38895e-05
38.5271s : 	988170	9070	16820	1.85447	268425460	6.26617e-05
38.9772s : 	988118	3688	5654	1.53308	268420106	2.1064e-05
39.4073s : 	988034	6174	16881	2.73421	268405091	6.28937e-05
39.883s : 	987961	2538	6262	2.4673	268376611	2.33329e-05
40.3874s : 	987934	4356	5067	1.16322	268429676	1.88765e-05
40.685s : 	987591	3564	10973	3.07884	268421882	4.08797e-05
41.2089s : 	987422	3763	7499	1.99282	268417782	2.79378e-05
41.7294s : 	987332	3283	5743	1.74931	268432588	2.13946e-05
42.2316s : 	986917	3910	13009	3.32711	268418143	4.84654e-05
42.7315s : 	986694	2857	8015	2.80539	268419174	2.986e-05
43.2314s : 	986566	7014	15016	2.14086	268430892	5.59399e-05
43.74s : 	986396	4076	8208	2.01374	268424482	3.05784e-05
44.0704s : 	986376	4497	7336	1.63131	268429150	2.73294e-05
44.5889s : 	985662	4204	18662	4.43911	268423995	6.95243e-05
44.9216s : 	985597	4347	8382	1.92823	268407176	3.12287e-05
45.4127s : 	985583	4536	5820	1.28307	268416515	2.16827e-05
45.737s : 	985574	848	1479	1.7441	268422025	5.50998e-06
46.2397s : 	985548	4124	5151	1.24903	268416491	1.91903e-05
46.7429s : 	985373	4060	8507	2.09532	268415825	3.16934e-05
47.2589s : 	985334	4556	6718	1.47454	268433849	2.50266e-05
47.7033s : 	985317	2693	2828	1.05013	268433365	1.05352e-05
48.171s : 	985244	4777	14572	3.05045	268428765	5.42863e-05
48.681s : 	985095	5140	16434	3.19728	268430372	6.12226e-05
49.154s : 	985002	4221	11035	2.61431	268429844	4.11094e-05
49.5776s : 	984843	3341	8177	2.44747	268426903	3.04627e-05
50.0836s : 	984790	4271	6807	1.59377	268429319	2.53586e-05
50.6003s : 	984759	6074	6900	1.13599	268430324	2.5705e-05
51.0808s : 	984691	4344	6233	1.43485	268423853	2.32207e-05
51.6103s : 	984172	5065	17514	3.45785	268426877	6.52468e-05
52.1576s : 	984030	5448	7957	1.46054	268426774	2.96431e-05
52.6832s : 	983892	5090	12011	2.35972	268401269	4.47502e-05
53.0106s : 	983886	674	705	1.04599	268433365	2.62635e-06
53.5526s : 	983559	6011	20202	3.36084	268431377	7.52595e-05
54.0387s : 	983271	3919	10786	2.75223	268430801	4.01817e-05
54.5454s : 	983043	4054	8072	1.99112	268425933	3.00716e-05
55.2102s : 	983025	8323	10319	1.23982	268428305	3.84423e-05
55.7326s : 	982878	4979	11184	2.24623	268429741	4.16645e-05
56.2536s : 	982714	4655	7609	1.63459	268432862	2.8346e-05
56.7833s : 	982621	4949	6905	1.39523	268432442	2.57234e-05
57.3256s : 	982177	5500	18176	3.30473	268429479	6.77124e-05
57.6173s : 	982081	2385	4105	1.72117	268430203	1.52926e-05
58.1351s : 	982005	4901	6613	1.34932	268430609	2.46358e-05
58.6538s : 	981988	5358	6372	1.18925	268418016	2.37391e-05
59.35s : 	980397	15590	60482	3.87954	268433157	0.000225315
59.8919s : 	980201	4167	10552	2.53228	268431635	3.93098e-05
60.3947s : 	980076	3213	9209	2.86617	268214978	3.43344e-05
60.8999s : 	979981	3104	5208	1.67784	268432592	1.94015e-05
61.3945s : 	975565	4729	1211	0.256079	268427067	4.51147e-06
61.8946s : 	971607	4506	2248	0.49889	268427920	8.37469e-06
62.3982s : 	965029	6853	678	0.0989348	268422149	2.52587e-06
62.8919s : 	961097	4375	1183	0.2704	268432579	4.40707e-06
63.392s : 	961025	2993	8571	2.86368	268430291	3.19301e-05
63.9086s : 	954800	6659	1150	0.172699	268415798	4.2844e-06
64.4015s : 	950942	4746	2467	0.519806	268424499	9.19067e-06
64.8814s : 	945411	6339	2235	0.352579	268430564	8.32618e-06
65.1627s : 	945399	695	1456	2.09496	268433110	5.42407e-06
65.6612s : 	945121	3831	11891	3.10389	268410963	4.43015e-05
