runtime 	  walksum  	 nwalks  	  total_edges  
818.455s : 	21410	1374	0
819.532s : 	21284	1710	0
821.485s : 	21182	1496	0
823.375s : 	21105	1435	0
823.375s : 	21061	1376	0
825.324s : 	21021	1373	0
827.257s : 	20990	1354	0
829.161s : 	20965	1329	0
831.073s : 	20932	1356	0
831.076s : 	20921	1287	0
832.999s : 	20902	1319	0
832.999s : 	20896	1249	0
833s : 	20887	1261	0
833s : 	20881	1239	0
833s : 	20869	1260	0
833s : 	20860	1247	0
834.895s : 	20845	1266	0
834.895s : 	20822	1287	0
836.806s : 	20787	1330	0
838.723s : 	20756	1306	0
840.623s : 	20722	1310	0
840.628s : 	20682	1322	0
842.531s : 	20640	1325	0
842.531s : 	20595	1328	0
844.411s : 	20567	1296	0
845.495s : 	20546	1283	0
847.389s : 	20531	1266	0
849.28s : 	20500	1307	0
851.173s : 	20453	1343	0
853.001s : 	20392	1366	0
854.915s : 	20367	1289	0
856.803s : 	20346	1281	0
858.711s : 	20321	1289	0
860.599s : 	20290	1300	0
862.489s : 	20267	1283	0
863.581s : 	20085	1584	0
863.581s : 	20052	1300	0
865.491s : 	20026	1286	0
867.411s : 	19999	1288	0
867.417s : 	19982	1269	0
869.348s : 	19950	1291	0
871.265s : 	19915	1295	0
871.265s : 	19881	1293	0
871.266s : 	19875	1172	0
871.266s : 	19866	1212	0
872.348s : 	19854	1226	0
872.348s : 	19842	1224	0
872.348s : 	19830	1223	0
872.348s : 	19815	1231	0
872.349s : 	19794	1247	0
874.31s : 	19783	1215	0
876.243s : 	19756	1262	0
878.215s : 	19727	1264	0
878.215s : 	19718	1207	0
880.135s : 	19700	1224	0
882.076s : 	19643	1300	0
883.171s : 	19572	1326	0
885.118s : 	19485	1361	0
886.998s : 	19454	1255	0
888.936s : 	19418	1263	0
890.839s : 	19367	1289	0
892.719s : 	19333	1259	0
894.669s : 	19317	1217	0
896.579s : 	19305	1211	0
898.509s : 	19284	1225	0
900.427s : 	19265	1221	0
902.347s : 	19259	1167	0
904.278s : 	19247	1193	0
906.175s : 	19220	1223	0
906.176s : 	19026	1549	0
906.176s : 	18990	1245	0
908.091s : 	18951	1254	0
908.093s : 	18936	1204	0
909.997s : 	18906	1230	0
911.893s : 	18867	1255	0
911.899s : 	18796	1314	0
911.903s : 	18757	1250	0
911.905s : 	18744	1194	0
911.908s : 	18738	1159	0
911.909s : 	18732	1155	0
913.815s : 	18726	1119	0
915.703s : 	18720	1115	0
915.704s : 	18711	1119	0
917.599s : 	18699	1153	0
918.675s : 	18687	1149	0
920.547s : 	18669	1161	0
922.426s : 	18642	1191	0
922.43s : 	18598	1223	0
923.466s : 	18537	1260	0
924.616s : 	18474	1262	0
