runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
837.582s : 	27768	156	191	1.22436	268435443	7.11531e-07
838.072s : 	27683	157	252	1.6051	268435293	9.38774e-07
838.543s : 	27592	156	253	1.62179	268435400	9.42499e-07
839.041s : 	27516	143	194	1.35664	268435406	7.22706e-07
839.543s : 	27425	156	267	1.71154	268435440	9.94653e-07
840.007s : 	27360	123	173	1.4065	268435430	6.44475e-07
840.503s : 	27268	156	278	1.78205	268435442	1.03563e-06
841.014s : 	27160	156	271	1.73718	268435440	1.00955e-06
841.532s : 	27065	155	240	1.54839	268435402	8.9407e-07
842.022s : 	26987	154	218	1.41558	268435347	8.12114e-07
842.505s : 	26926	111	158	1.42342	268435424	5.88596e-07
842.991s : 	26831	154	233	1.51299	268435443	8.67993e-07
843.48s : 	26741	153	226	1.47712	268435352	8.41916e-07
843.963s : 	26642	153	263	1.71895	268435450	9.79751e-07
844.437s : 	26564	152	211	1.38816	268435448	7.86036e-07
844.933s : 	26468	151	229	1.51656	268435453	8.53091e-07
845.437s : 	26392	151	265	1.75497	268435447	9.87202e-07
845.943s : 	26302	150	230	1.53333	268435369	8.56817e-07
846.558s : 	26250	150	151	1.00667	268435452	5.62519e-07
847.196s : 	26148	176	269	1.52841	268435447	1.0021e-06
847.691s : 	26067	149	208	1.39597	268435443	7.7486e-07
848.167s : 	25988	148	220	1.48649	268435429	8.19564e-07
848.651s : 	25900	147	221	1.5034	268435407	8.23289e-07
849.124s : 	25826	146	186	1.27397	268435456	6.92904e-07
849.634s : 	25792	55	80	1.45455	268435443	2.98023e-07
850.118s : 	25694	145	238	1.64138	268435449	8.86619e-07
850.609s : 	25603	146	228	1.56164	268435453	8.49366e-07
851.094s : 	25513	146	233	1.59589	268435431	8.67993e-07
851.62s : 	25431	146	226	1.54795	268434964	8.41917e-07
852.109s : 	25339	146	254	1.73973	268435376	9.46224e-07
852.588s : 	25265	145	257	1.77241	268435444	9.574e-07
853.095s : 	25177	145	226	1.55862	268435411	8.41916e-07
853.592s : 	25130	89	123	1.38202	268435452	4.58211e-07
854.094s : 	25100	61	85	1.39344	268435420	3.1665e-07
854.58s : 	25022	146	233	1.59589	268435450	8.67993e-07
855.067s : 	24941	145	197	1.35862	268435411	7.33882e-07
855.545s : 	24847	144	194	1.34722	268435428	7.22706e-07
856.05s : 	24769	143	245	1.71329	268435374	9.12696e-07
856.543s : 	24705	115	164	1.42609	268435421	6.10948e-07
857.035s : 	24662	93	116	1.24731	268435420	4.32134e-07
857.533s : 	24592	143	237	1.65734	268435439	8.82894e-07
858.008s : 	24558	52	69	1.32692	268435439	2.57045e-07
858.391s : 	24466	142	200	1.40845	268435235	7.45059e-07
858.885s : 	24383	142	215	1.51408	268435418	8.00938e-07
859.391s : 	24293	142	212	1.49296	268435430	7.89762e-07
859.887s : 	24202	142	239	1.6831	268435422	8.90344e-07
860.365s : 	24175	141	156	1.10638	268435446	5.81145e-07
860.861s : 	24087	141	243	1.7234	268435442	9.05246e-07
861.363s : 	24010	139	189	1.35971	268435403	7.0408e-07
861.854s : 	23947	139	216	1.55396	268435412	8.04663e-07
862.349s : 	23856	117	197	1.68376	268435284	7.33883e-07
862.846s : 	23787	139	237	1.70504	268435420	8.82894e-07
863.341s : 	23707	138	218	1.57971	268435455	8.12113e-07
863.844s : 	23628	137	196	1.43066	268435361	7.30157e-07
864.31s : 	23564	97	158	1.62887	268435407	5.88596e-07
864.79s : 	23504	137	150	1.09489	268435415	5.58794e-07
865.259s : 	23432	135	197	1.45926	268435323	7.33883e-07
865.745s : 	23369	92	149	1.61957	268435226	5.55069e-07
866.251s : 	23281	135	210	1.55556	268434251	7.82314e-07
866.743s : 	23190	135	231	1.71111	268435417	8.60542e-07
867.225s : 	23101	135	217	1.60741	268435456	8.08388e-07
867.705s : 	23037	102	180	1.76471	268434860	6.70554e-07
867.994s : 	22964	136	186	1.36765	268435451	6.92904e-07
868.474s : 	22893	134	186	1.38806	268435429	6.92904e-07
868.746s : 	22811	133	198	1.48872	268435449	7.37607e-07
869.235s : 	22725	133	201	1.51128	268435442	7.48783e-07
869.727s : 	22634	132	225	1.70455	268435271	8.38191e-07
870.203s : 	22543	131	216	1.64885	268435397	8.04663e-07
870.686s : 	22455	129	208	1.6124	268435382	7.74861e-07
870.966s : 	22386	131	185	1.41221	268435447	6.89179e-07
871.456s : 	22307	132	210	1.59091	268435421	7.82311e-07
871.944s : 	22212	130	199	1.53077	268435438	7.41333e-07
872.426s : 	22114	130	222	1.70769	268435437	8.27015e-07
872.93s : 	22038	130	181	1.39231	268435290	6.74278e-07
873.408s : 	21955	130	236	1.81538	268435455	8.79169e-07
873.903s : 	21872	129	200	1.55039	268435392	7.45058e-07
874.345s : 	21778	129	194	1.50388	268435406	7.22706e-07
874.804s : 	21714	129	209	1.62016	268435417	7.78586e-07
875.291s : 	21645	119	176	1.47899	268435419	6.55651e-07
875.779s : 	21578	99	163	1.64646	268435400	6.07222e-07
876.263s : 	21514	128	162	1.26562	268435447	6.03497e-07
876.74s : 	21448	128	168	1.3125	268434831	6.2585e-07
877.22s : 	21379	128	171	1.33594	268435401	6.37025e-07
877.688s : 	21302	127	166	1.30709	268431931	6.18406e-07
878.173s : 	21246	127	163	1.28346	268435174	6.07223e-07
878.654s : 	21165	126	215	1.70635	268433399	8.00944e-07
879.135s : 	21093	113	188	1.66372	268435407	7.00355e-07
879.606s : 	21008	125	197	1.576	268435333	7.33883e-07
880.077s : 	20927	124	203	1.6371	268435449	7.56234e-07
880.569s : 	20842	125	198	1.584	268433662	7.37612e-07
881.052s : 	20784	124	186	1.5	268435309	6.92904e-07
881.534s : 	20708	123	194	1.57724	268435404	7.22706e-07
882.02s : 	20638	122	164	1.34426	268434809	6.10949e-07
882.52s : 	20555	122	197	1.61475	268435421	7.33882e-07
883.003s : 	20496	98	155	1.58163	268435358	5.7742e-07
883.478s : 	20411	123	208	1.69106	268434919	7.74862e-07
883.954s : 	20353	122	183	1.5	268435445	6.81728e-07
884.245s : 	20282	123	170	1.38211	268435424	6.33299e-07
884.714s : 	20221	122	190	1.55738	268435249	7.07806e-07
885.205s : 	20146	122	198	1.62295	268435438	7.37608e-07
885.692s : 	20081	122	190	1.55738	268435453	7.07805e-07
886.171s : 	20005	122	193	1.58197	268435444	7.18981e-07
886.498s : 	19939	106	155	1.46226	268435428	5.7742e-07
887.009s : 	19916	34	63	1.85294	268435402	2.34693e-07
887.504s : 	19848	122	170	1.39344	268435446	6.33299e-07
887.977s : 	19775	122	167	1.36885	268435362	6.22124e-07
888.449s : 	19728	121	196	1.61983	268435038	7.30158e-07
888.922s : 	19652	120	212	1.76667	268435438	7.89762e-07
889.418s : 	19593	120	201	1.675	268430208	7.48798e-07
889.887s : 	19538	113	184	1.62832	268435445	6.85453e-07
890.356s : 	19467	119	180	1.51261	268435451	6.70552e-07
890.832s : 	19406	119	156	1.31092	268435409	5.81145e-07
891.282s : 	19344	119	207	1.7395	268435001	7.71136e-07
891.75s : 	19271	119	190	1.59664	268435337	7.07805e-07
892.216s : 	19214	98	158	1.61224	268435276	5.88596e-07
892.692s : 	19132	113	181	1.60177	268435426	6.74278e-07
893.176s : 	19057	124	156	1.25806	268435411	5.81145e-07
893.648s : 	18993	96	172	1.79167	268435431	6.4075e-07
893.987s : 	18915	118	186	1.57627	268435448	6.92904e-07
894.264s : 	18845	118	164	1.38983	268435456	6.10948e-07
894.738s : 	18794	119	136	1.14286	268435413	5.0664e-07
895.215s : 	18740	82	121	1.47561	268435436	4.5076e-07
895.704s : 	18672	118	151	1.27966	268435400	5.62519e-07
896.194s : 	18624	73	121	1.65753	268435435	4.5076e-07
896.684s : 	18549	118	171	1.44915	268435443	6.37025e-07
897.194s : 	18487	118	151	1.27966	268435437	5.62519e-07
897.665s : 	18426	117	149	1.2735	268435443	5.55068e-07
898.15s : 	18368	97	151	1.5567	268435431	5.62519e-07
